"","INSTNM","POOR_Prop"
"430","Moorpark College",0.995061728395062
"431","Mt San Antonio College",1
"432","Mount St Mary's College",0.379377431906615
"433","Mt San Jacinto Community College District",1
"434","Mueller College",0.777777777777778
"435","Musicians Institute",0.47940074906367
"436","Napa Valley College",1
"437","Everest College-San Francisco",0.789473684210526
"438","Everest College-Reseda",0.6875
"439","Everest College-LA Wilshire",0.8
"440","Everest College-San Jose",0.589285714285714
"441","Everest College-Gardena",0.821428571428571
"442","Everest College-Alhambra",0.831578947368421
"443","Everest College-San Bernardino",0.876106194690266
"444","The National Hispanic University",0.604166666666667
"445","National Holistic Institute",0.767955801104972
"446","National University",0.575757575757576
"447","Newschool of Architecture and Design",0.428571428571429
"448","Newberry School of Beauty",0.607142857142857
"449","Adrian's College of Beauty Modesto",0.911602209944751
"450","North-West College-Pomona",0.827027027027027
"451","North-West College-West Covina",0.819905213270142
"452","North-West College-Pasadena",0.635593220338983
"453","Notre Dame de Namur University",0.251655629139073
"454","Occidental College",0.200803212851406
"455","Oceanside College of Beauty",0.636363636363636
"456","Ohlone College",0.995495495495496
"457","Orange Coast College",1
"458","Otis College of Art and Design",0.365079365079365
"459","Oxnard College",1
"460","Hope International University",0.339805825242718
"461","Concorde Career College-San Diego",0.969072164948454
"462","Palo Alto University",NA
"463","Pacific Lutheran Theological Seminary",NA
"464","Pacific Oaks College",NA
"465","Pacific School of Religion",NA
"466","Pacific States University",1
"467","Pacific Union College",0.275092936802974
"468","University of the Pacific",0.247148288973384
"469","Palo Verde College",1
"470","Palomar College",0.998447204968944
"471","Paris Beauty College",1
"472","Pasadena City College",1
"473","Pepperdine University",0.193103448275862
"474","Pitzer College",0.164835164835165
"475","Platt College-San Diego",0.76
"476","Point Loma Nazarene University",0.156599552572707
"477","Pomona College",0.218181818181818
"478","Porterville College",1
"479","Westwood College-South Bay",1
"480","Professional Institute of Beauty",0.741935483870968
"481","Santa Ana College",1
"482","Pardee RAND Graduate School",NA
"483","Shasta School of Cosmetology",0.638888888888889
"484","University of Redlands",0.180995475113122
"485","College of the Redwoods",0.728643216080402
"486","Salon Success Academy-Upland",0.511111111111111
"487","Salon Success Academy-Corona",0.620689655172414
"488","Rio Hondo College",1
"489","Riverside City College",1
"490","Argosy University-San Francisco Bay Area",0.714285714285714
"491","Rosemead Beauty School",0.291666666666667
"492","Dongguk University-Los Angeles",NA
"493","Sacramento City College",1
"494","Saddleback College",1
"495","Samuel Merritt University",NA
"496","San Diego City College",1
"497","Golf Academy of America-Carlsbad",0.58
"498","San Diego Mesa College",1
"499","San Diego Miramar College",1
"500","San Diego State University",0.361546499477534
"501","University of San Diego",0.109433962264151
"502","San Francisco Art Institute",0.372093023255814
"503","San Francisco Conservatory of Music",0.259259259259259
"504","San Francisco State University",0.387019230769231
"505","San Francisco Theological Seminary",NA
"506","University of San Francisco",0.24
"507","San Joaquin College of Law",NA
"508","San Joaquin Delta College",1
"509","San Joaquin Valley College-Visalia",0.790243902439024
"510","San Joaquin Valley College-Bakersfield",0.590163934426229
"511","William Jessup University",0.24031007751938
"512","San Jose City College",1
"513","San Jose State University",0.37993762993763
"514","College of San Mateo",1
"515","Santa Barbara Business College-Bakersfield",0.72289156626506
"516","Westwood College-Los Angeles",0.884615384615385
"517","Santa Barbara Business College-Santa Maria",0.4375
"518","Santa Barbara City College",0.969479353680431
"519","Santa Clara University",0.157894736842105
"520","Santa Monica College",1
"521","Santa Rosa Junior College",0.9975
"522","Saybrook University",NA
"523","Scripps College",0.153061224489796
"524","Wyotech-Fremont",0.671009771986971
"525","College of the Sequoias",1
"526","Shasta Bible College and Graduate School",0.8
"527","Shasta College",0.998003992015968
"528","Sierra College",0.991776315789474
"529","Sierra College of Beauty",1
"530","Sierra Valley College of Court Reporting",0.578947368421053
"531","Trinity Law School",NA
"532","Simpson University",0.270833333333333
"533","College of the Siskiyous",0.983739837398374
"534","Charles A Jones Career and Education Center",0.539325842696629
"535","Skyline College",1
"536","San Bernardino Valley College",1
"537","Saint Mary's College of California",0.143181818181818
"538","Solano Community College",1
"539","Sonoma State University",0.27348643006263
"540","Pinnacle College",0.702857142857143
"541","South Baylo University",NA
"542","South Coast College",0.75
