,Class,Distance,Name
460,8,12914256.76007364,Milwaukee Area Technical College
461,8,12975804.2100717,San Jacinto Community College
462,8,13800167.122039078,Trident Technical College
463,8,15155919.167755518,Columbus State Community College
464,8,15565006.09229256,CUNY Queensborough Community College
465,8,15666530.92812003,The Community College of Baltimore County
466,8,16000712.435226856,Harrisburg Area Community College-Harrisburg
467,8,16270544.393404523,Oakland Community College
468,8,18200316.531800985,Salt Lake Community College
469,8,19102899.23933702,Delgado Community College
470,8,21547957.96370418,San Antonio College
471,8,24417539.99797645,CUNY Kingsborough Community College
472,8,27594274.08901588,Austin Community College District
473,8,27749638.322065774,Tidewater Community College
474,8,29232436.329006344,Cuyahoga Community College District
475,8,38023829.22845223,Northern Virginia Community College
476,8,42720105.94920452,El Paso Community College
477,8,43938231.878307424,Portland Community College
478,8,53160935.287180215,CUNY Borough of Manhattan Community College
479,8,55672457.64181182,Tarrant County College District
480,8,66849949.88294653,Lone Star College System
481,8,84911643.15141222,Houston Community College
482,8,176206907.8683258,Ivy Tech Community College
483,9,0.0,Yavapai College
484,9,44372.293379158524,Red Rocks Community College
485,9,45710.88221772903,College of Southern Idaho
486,9,63881.08658854625,Iowa Western Community College
487,9,124520.9205221315,John Tyler Community College
488,9,132501.72188745087,Iowa Central Community College
489,9,139318.65599875772,Georgia Highlands College
490,9,168607.88916369944,Parkland College
491,9,171017.21388295965,Tri-County Technical College
492,9,176081.62715149837,Minnesota State Community and Technical College
493,9,205570.3746579248,Edmonds Community College
494,9,249906.46373519732,Clackamas Community College
495,9,255472.6992670545,Lewis and Clark Community College
496,9,303927.3582229923,Yakima Valley Community College
497,9,348760.3703083145,City Colleges of Chicago-Richard J Daley College
498,9,359917.20627146045,Howard Community College
499,9,368314.6981030525,Luzerne County Community College
500,9,378852.1859880638,Walters State Community College
501,9,404426.24024683377,Virginia Western Community College
502,9,472511.0881171032,Reading Area Community College
503,9,473294.06972650497,Lee College
504,9,529072.5318845619,Genesee Community College
505,9,610197.0818262226,Finger Lakes Community College
506,9,611876.0368541733,Niagara County Community College
