"INSTNM","UNITID","NPT4_PRIV","NPT41_PRIV","NPT42_PRIV","RET_FTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Concorde Career College-Grand Prairie",441742,19616,19488,21909,0.8393,9500,105.469475,0.492825951,0.7077,47400,0.563279867,0.959627329192547
"Concorde Career College-Memphis",219903,19159,19072,19288,0.6892,9500,105.469475,0.336503623,0.646428582,22600,0.298542261,0.95852534562212
"Concorde Career College-North Hollywood",124937,20239,20218,20560,0.747,9500,105.469475,0.67008547,0.711521433,39600,0.620583713,0.966386554621849
"Concorde Career College-Portland",208479,19633,19390,21753,0.7085,9500,105.469475,0.722403658,0.675913865,27200,0.524193525,0.928
"Concorde Career College-San Bernardino",124706,19506,19318,19844,0.6498,9500,105.469475,0.552154903,0.700966744,27000,0.515841603,0.950980392156863
"Concorde Career College-San Diego",120661,20344,20274,20287,0.6919,9500,105.469475,0.46778043,0.71121068,25700,0.453074425,0.969072164948454
"Concorde Career Institute-Jacksonville",133845,21114,21110,20189,0.7048,9500,105.469475,0.418062637,0.679519243,20700,0.321759254,0.981981981981982
"Concorde Career Institute-Miramar",133854,18324,18195,20403,0.713,9500,105.469475,0.484749455,0.73387551,22500,0.380208343,0.964285714285714
"Concorde Career Institute-Orlando",460190,20090,20050,19557,0.8415,9500,105.469475,0.418062637,0.9434,20700,0.321759254,0.981308411214953
"Concorde Career Institute-San Antonio",460206,19796,19688,21154,0.7451,9500,105.469475,0.398135819,0.8857,21300,0.41019699,0.964824120603015
"Concorde Career Institute-Tampa",133863,19779,19726,20123,0.6393,9485,105.3029443,0.539888683,0.727244773,23900,0.321503133,0.962962962962963
"Conservatory of Recording Arts and Sciences",262341,23675,21830,22836,0.91,11688,129.7607604,0.661202186,0.851220145,32600,0.541547298,0.492248062015504
"Continental Academie of Hair Design-Hudson",182652,12823,10972,12853,0.8837,9075,100.7511038,0.686046512,0.93025,22000,0.25,0.454545454545455
"Continental School of Beauty Culture-Batavia",190309,14868,15094,13199,0.4,9500,105.469475,0.578181818,0.7021,16100,0.165562913,0.75
"Continental School of Beauty Culture-Buffalo",190293,12102,12062,10724,0.6154,9500,105.469475,0.532085561,0.522461798,17200,0.25777778,0.909090909090909
"Continental School of Beauty Culture-Rochester",190318,14521,14132,14093,0.8108,7184,79.7571272,0.633821571,0.828520039,18000,0.297741264,0.783333333333333
"Continental School of Beauty Culture-West Seneca",194435,13670,13043,13304,0.8667,9500,105.469475,0.532085561,0.689018293,17200,0.25777778,0.703703703703704
"Cortiva Institute-Seattle",419411,21220,20077,20874,0.8,7917,87.89492985,0.838862559,0.901785714,26800,0.457746476,0.372093023255814
